Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Local Manip Cost,0.0,0.0,0.24622787778977748,0.2645795824953377,0.28736547338080304,0.29561559691088124,0.32904708490600787,0.35585617559513444,0.3177262412675189,0.3717631864064467
Joint 0: ,-0.2,-0.121,-0.068,-0.036,0.001,0.029,0.07,0.121,0.185,0.234
Joint 1: ,0.4,0.484,0.528,0.605,0.612,0.647,0.671,0.754,0.846,0.92
Joint 2: ,0.4,0.426,0.443,0.441,0.457,0.459,0.473,0.452,0.417,0.417
Joint 3: ,0.9,0.859,0.936,0.932,0.994,1.041,1.093,1.068,0.994,0.938
Joint 4: ,0.9,0.963,0.945,0.946,0.914,0.885,0.875,0.882,0.9,0.927
Joint 5: ,0.9,0.837,0.879,0.854,0.886,0.933,0.953,0.915,0.849,0.798
Joint 6: ,0.0,0.063,0.11,0.11,0.141,0.157,0.157,0.157,0.204,0.204
Trial,12,Sim Type,5,Distance Weight,0.9,Random Seed,180,Min Iterations,2500,Distance cost,6.263291572643205,Manip Cost,1.9439010390902824,Total cost,5.831352519287913,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,4.304951307e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.063,0.05,0.05,0.066,0.05,0.045,0.045
Total Cost,0.0,0.6,1.2,1.95387,2.58124,3.20903,4.0382,4.67633,5.25148,5.83135
Local Manip Cost,0.0,0.0,0.0,0.0,0.2737830820989221,0.27785163465116736,0.3175364258700921,0.38127372629850015,0.3091755358542701,0.38428063431733067
Joint 0: ,-0.2,-0.172,-0.116,-0.01,0.022,0.072,0.124,0.185,0.218,0.238
Joint 1: ,0.4,0.423,0.454,0.56,0.577,0.635,0.699,0.782,0.86,0.921
Joint 2: ,0.4,0.403,0.428,0.459,0.469,0.479,0.406,0.414,0.409,0.402
Joint 3: ,0.9,0.963,0.995,0.898,0.961,0.976,1.011,0.97,0.938,0.939
Joint 4: ,0.9,0.869,0.869,0.963,0.931,0.931,0.942,0.955,0.961,0.96
Joint 5: ,0.9,0.947,0.955,0.862,0.897,0.887,0.911,0.865,0.825,0.809
Joint 6: ,0.0,0.031,0.031,0.126,0.157,0.157,0.267,0.267,0.267,0.267
Trial,13,Sim Type,5,Distance Weight,0.9,Random Seed,195,Min Iterations,2500,Distance cost,5.850642387340983,Manip Cost,2.1870941210207917,Total cost,5.484287560708964,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,4.360936221e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.067,0.021
Total Cost,0.0,0.6,1.2,1.82504,2.45071,3.07802,3.7115,4.34848,5.18874,5.48429
Local Manip Cost,0.0,0.0,0.0,0.2504245230151909,0.256630132167522,0.2731419191001178,0.33477038837297246,0.3698182547279231,0.3121341719598457,0.39017473167721994
Joint 0: ,-0.2,-0.16,-0.132,-0.097,-0.043,0.015,0.051,0.117,0.201,0.228
Joint 1: ,0.4,0.448,0.494,0.504,0.573,0.652,0.683,0.777,0.875,0.915
Joint 2: ,0.4,0.413,0.418,0.434,0.447,0.458,0.465,0.448,0.445,0.436
Joint 3: ,0.9,0.938,0.984,1.047,1.053,1.034,1.081,1.025,0.987,0.955
Joint 4: ,0.9,0.895,0.886,0.855,0.857,0.864,0.846,0.893,0.896,0.912
Joint 5: ,0.9,0.907,0.92,0.965,0.947,0.913,0.952,0.894,0.79,0.763
Joint 6: ,0.0,-0.0,-0.0,0.031,0.031,0.031,0.047,0.094,0.094,0.094
Trial,14,Sim Type,5,Distance Weight,0.9,Random Seed,210,Min Iterations,2500,Distance cost,6.306799588639734,Manip Cost,2.223440100978393,Total cost,5.898463639873601,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,2.48557676e-11,1e-20,1e-20,1e-20,5.748660439e-11,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.074,0.05,0.049
Total Cost,0.0,0.6,1.2,1.82597,2.45338,3.08231,3.71487,4.64534,5.2796,5.89846
Local Manip Cost,0.0,0.0,0.0,0.2596858996139293,0.274069810667725,0.2893259933485238,0.32560170736518634,0.39175633287241934,0.3425948048705002,0.34040555224010866
Joint 0: ,-0.2,-0.135,-0.071,0.014,0.045,0.079,0.094,0.134,0.182,0.233
Joint 1: ,0.4,0.444,0.511,0.567,0.604,0.643,0.702,0.76,0.823,0.905
Joint 2: ,0.4,0.427,0.447,0.478,0.482,0.487,0.478,0.454,0.434,0.426
Joint 3: ,0.9,0.913,0.91,0.838,0.886,0.929,0.951,1.008,1.01,0.968
Joint 4: ,0.9,0.916,0.921,0.984,0.975,0.967,0.961,0.904,0.904,0.913
Joint 5: ,0.9,0.894,0.858,0.783,0.799,0.811,0.805,0.828,0.778,0.737
Joint 6: ,0.0,0.016,0.031,0.094,0.094,0.094,0.094,0.157,0.157,0.157
Trial,15,Sim Type,5,Distance Weight,0.9,Random Seed,225,Min Iterations,2500,Distance cost,6.212097747151159,Manip Cost,1.9162563346291257,Total cost,5.782513605898956,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1.0,1e-20,1e-20,3.977407441e-11,1e-20,4.121387398e-11,1e-20,1e-20
Distance to Last Node,0.0,0.074,0.05,0.05,0.05,0.05,0.05,0.045,0.05,0.048
Total Cost,0.0,0.88253,1.48253,2.08253,2.71036,3.33858,3.97126,4.54482,5.17544,5.78251
Local Manip Cost,0.0,0.0,0.0,0.0,0.2782700502148722,0.28216292945595833,0.32682142821142796,0.38762156260228675,0.3061736720902249,0.33520669205435577
Joint 0: ,-0.2,-0.162,-0.101,-0.016,0.039,0.062,0.103,0.137,0.181,0.24
Joint 1: ,0.4,0.372,0.455,0.549,0.605,0.653,0.731,0.777,0.828,0.901
