Trial,1,Sim Type,6,Distance Weight,0.8,Random Seed,15,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Joint 2: ,0.0,-0.22,-0.546,-1.428,-1.683,-1.604,-1.517,-1.526,-1.376,-1.514
Joint 3: ,1.5,1.29,1.653,1.345,1.705,1.676,1.317,1.523,1.608,1.524
Joint 4: ,0.0,-0.177,0.071,-0.485,-0.008,0.086,0.559,0.392,0.543,0.597
Joint 5: ,1.5,1.288,1.764,1.07,1.086,0.992,0.649,0.758,0.912,0.748
Joint 6: ,0.0,0.157,0.927,1.838,2.136,2.231,2.623,2.529,3.142,3.225
Trial,23,Sim Type,6,Distance Weight,0.8,Random Seed,345,Min Iterations,1000,Distance cost,0.4898876716870055,Manip Cost,0.4735278339759454,Total cost,0.40634056811177216,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,0.0,0.061358702256821024,4.243708986e-11,0.0,0.0,0.03932047689563161
Distance to Last Node,0.0,0.107,0.05,0.1,0.05,0.05,0.098,0.094,0.088
Total Cost,0.0,0.06239,0.09163,0.15,0.19459,0.21383,0.31267,0.37651,0.40634
Joint 0: ,0.0,1.171,1.347,1.698,1.761,1.842,1.852,1.715,1.844
Joint 1: ,-0.7,-1.148,-1.276,-1.414,-1.181,-1.248,-1.216,-1.483,-1.285
Joint 2: ,0.0,-0.313,-0.334,-1.162,-0.932,-0.944,-0.912,-1.156,-0.99
Joint 3: ,1.5,1.582,1.362,1.404,1.399,1.255,1.2,1.187,1.36
Joint 4: ,0.0,-0.597,-0.806,-1.047,-0.843,-0.911,-0.88,-1.132,-0.974
Joint 5: ,1.5,1.69,1.477,1.571,1.366,1.284,1.253,1.491,1.281
Joint 6: ,0.0,-1.131,-1.319,-2.359,-2.358,-2.421,-2.424,-2.314,-2.391
Trial,24,Sim Type,6,Distance Weight,0.8,Random Seed,360,Min Iterations,1000,Distance cost,0.7105160631150723,Manip Cost,0.18633903045729647,Total cost,0.5620155075717861,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.059489841418810134,4.691757935e-11,0.025780896719934377,0.045708225121584366,0.03437894851429665,0.05614394338154448,0.03072030018617849,0.036341110042394625,0.03407375749942606,0.03407239881140367,0.03403681918434873
Distance to Last Node,0.0,0.05,0.088,0.097,0.098,0.05,0.082,0.124,0.077,0.088,0.05,0.089,0.032
Total Cost,0.0,0.02924,0.0806,0.16733,0.20867,0.25504,0.28645,0.35983,0.40683,0.4617,0.4891,0.54777,0.56202
Joint 0: ,0.0,0.769,1.543,1.614,1.336,1.086,0.86,1.435,1.5,1.614,1.605,1.545,1.601
