Trial,20,Sim Type,6,Distance Weight,1,Random Seed,300,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,21,Sim Type,6,Distance Weight,1,Random Seed,315,Min Iterations,1000,Distance cost,0.5623801631260785,Manip Cost,0.08592240731163542,Total cost,0.5342611549697746,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,0.06059009272337727,1.0,1.0,0.057169719834450045,0.06215153156439619,0.036563044679556275,0.06275935291471627,0.03743199855963372
Distance to Last Node,0.0,0.095,0.05,0.09,0.112,0.098,0.116,0.113,0.057
Total Cost,0.0,0.06938,0.10593,0.17146,0.2531,0.32452,0.40946,0.49241,0.53426
Joint 0: ,0.0,1.335,0.833,0.638,1.175,1.605,1.663,1.6,1.648
Joint 1: ,-0.7,-1.048,-1.035,-0.972,-1.144,-1.083,-1.135,-1.269,-1.276
Joint 2: ,0.0,-1.295,-0.808,-0.796,-1.017,-1.417,-1.452,-1.205,-1.283
Joint 3: ,1.5,1.301,1.314,1.333,1.547,1.42,1.541,1.566,1.594
Joint 4: ,0.0,-1.165,-0.881,-0.434,-0.641,-0.878,-0.689,-0.229,-0.257
Joint 5: ,1.5,0.634,1.043,1.065,0.743,0.476,0.525,0.423,0.48
Joint 6: ,0.0,0.188,0.66,1.131,1.476,2.089,2.11,2.88,2.843
Trial,22,Sim Type,6,Distance Weight,1,Random Seed,330,Min Iterations,1000,Distance cost,0.689803552407242,Manip Cost,0.21563888419921823,Total cost,0.6553133747868799,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.05743997979321968,0.057978898633742185,0.057179255768508686
Distance to Last Node,0.0,0.05,0.124,0.094,0.095,0.109,0.096,0.05,0.095,0.112,0.07
Total Cost,0.0,0.03655,0.12748,0.19655,0.26599,0.34548,0.41593,0.45248,0.52225,0.60412,0.65531
Joint 0: ,0.0,0.636,0.339,0.091,0.585,1.061,1.692,1.839,1.24,1.465,1.593
Joint 1: ,-0.7,-1.138,-1.103,-0.866,-1.121,-0.905,-1.233,-1.223,-1.349,-1.252,-1.18
Joint 2: ,0.0,-0.66,-1.336,-0.928,-1.594,-1.662,-1.663,-1.65,-1.359,-1.439,-1.463
Joint 3: ,1.5,1.41,1.641,1.943,1.784,1.499,1.387,1.39,1.779,1.733,1.713
Joint 4: ,0.0,-0.628,-0.323,-0.011,-0.058,0.472,0.77,0.77,0.824,0.874,0.853
Joint 5: ,1.5,1.154,1.274,1.513,1.181,0.704,0.191,0.159,0.333,0.316,0.297
